file_name,time_ms,channel,cluster,peak_amplitude,waveform_length
010.csv,266875.5,57,-1,0.0189861694896757,3.5
010.csv,266876.05,57,-1,0.0168765951019339,3.5
010.csv,266876.6,57,-1,0.019408084367224,3.5
010.csv,266877.2,57,-1,0.0186345737583854,3.5
010.csv,266877.8,57,-1,0.0178610631495467,3.5
010.csv,266878.35,57,-1,0.0192674460747079,3.5
010.csv,266878.9,57,-1,0.0180720205883209,3.5
010.csv,266879.45,57,-1,0.0149779781529664,3.5
010.csv,266880.0,57,-1,0.0154702121767728,3.5
010.csv,266880.55,57,-1,0.0158218079080631,3.5
010.csv,266881.1,57,-1,0.021798935339998,3.5
010.csv,266881.65,57,-1,0.0197596800985143,3.5
010.csv,266882.2,57,-1,0.0194784035134821,3.5
010.csv,266882.75,57,-1,0.0222208502175463,3.5
010.csv,266883.3,57,-1,0.0150482972992244,3.5
010.csv,266883.85,57,-1,0.0195487226597401,3.5
010.csv,266884.4,57,-1,0.0165249993706436,3.5
010.csv,266884.95,57,-1,0.0189158503434176,3.5
010.csv,266885.5,57,-1,0.0175094674182565,3.5
010.csv,266886.05,57,-1,0.0158218079080631,3.5
010.csv,266886.7,57,-1,0.0153295738842567,3.5
010.csv,266887.5,57,-1,0.0160327653468372,3.5
010.csv,266888.25,57,-1,0.0151186164454825,3.5
010.csv,266889.15,57,-1,0.0151889355917405,3.5
010.csv,266889.8,57,-1,0.015751488761805,3.5
010.csv,266890.6,57,-1,0.0156108504692889,3.5
010.csv,266891.15,57,-1,0.0206738289998691,3.5
010.csv,266891.7,57,-1,0.0168062759556759,3.5
010.csv,266892.25,57,-1,0.0177204248570306,3.5
010.csv,266892.8,57,-1,0.0160327653468372,3.5
010.csv,267744.9,57,-1,0.0175094674182565,3.5
010.csv,267765.95,57,-1,0.0153295738842567,3.5
010.csv,252725.95,58,-1,0.0161734036393533,3.5
010.csv,266826.8,58,-1,0.0192674460747079,3.5
010.csv,266828.25,58,-1,0.0182829780270951,3.5
010.csv,266829.05,58,-1,0.0163843610781275,3.5
010.csv,266829.7,58,-1,0.0163140419318695,3.5
010.csv,266830.65,58,-1,0.0170875525407081,3.5
010.csv,266832.8,58,-1,0.0161030844930953,3.5
010.csv,266834.2,58,-1,0.0156811696155469,3.5
010.csv,266835.45,58,-1,0.0156811696155469,3.5
